trial_id,order_id,target,pics,position,focus,prompt,sentence,category,ikemap,ikemas
56,24,魚,fish.jpeg,phrase-medial,out-of-focus,カニさんは大きい魚を見ましたか？,いいえ、マサイさんが大きい魚を見ましたよ。,experiment,カニがどぅ　がばーっずー　みーたいな？,あらん。マサイがどぅ　がばーっずー　みーたいよ。
104,25,葉,leaf.jpeg,phrase-medial,out-of-focus,カニさんは大きい葉を見ましたか？,いいえ、マサイさんが大きい葉を見ましたよ。,filler,カニがどぅ　がばーはーゆ　みーたいな？,あらん。マサイがどぅ　がばーはーゆ　みーたいよ。
1,26,雲,cloud.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい雲を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーん°むーどぅ　みーたいよ。
110,27,鼻,nose.jpeg,phrase-medial,out-of-focus,カニさんは大きい鼻を見ましたか？,いいえ、マサイさんが大きい鼻を見ましたよ。,filler,カニがどぅ　がばーはなう　みーたいな？,あらん。マサイがどぅ　がばーはなう　みーたいよ。
112,28,鼻,nose.jpeg,utt-medial,out-of-focus,カニさんは鼻を見ましたか？,いいえ、マサイさんが鼻を見ましたよ。,filler,カニがどぅ　はなう　みーたいな？,あらん。マサイがどぅ　はなう　みーたいよ。
127,29,手,hand.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい手を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーてぃーゆどぅ　みーたいよ。
18,30,綱,tsuna.jpeg,utt-initial,out-of-focus,綱が西村の方に見えますか？,いいえ、綱が池間の方に見えますよ。,experiment,ん°なぬどぅ　西村ん　みーらいゆーな？,あらん。ん°なぬどぅ　池間ん　みーらいゆーい。
26,31,舌,tongue.jpeg,phrase-medial,out-of-focus,カニさんは大きい舌を見ましたか？,いいえ、マサイさんが大きい舌を見ましたよ。,experiment,カニがどぅ　がばーったう　みーたいな？,あらん。マサイがどぅ　がばーったう　みーたいよ。
43,32,巻貝,makigai.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい巻貝を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーんなうどぅ　みーたいよ。
139,33,足,foot.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい足を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーはっじゅどぅ　みーたいよ。
150,34,しっぽ,tail.jpeg,utt-initial,out-of-focus,しっぽが西村の方に見えますか？,いいえ、しっぽが池間の方に見えますよ。,filler,じゅーぬどぅ　西村ん　みーらいゆーな？,あらん。じゅーぬどぅ　池間ん　みーらいゆーい。
17,35,綱,tsuna.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,綱が池間の方に見えますよ。,experiment,なうぬどぅ　池間ん　みーらいゆ？,ん°なぬどぅ　池間ん　みーらいゆーい。
94,36,藻,algae.jpeg,utt-medial,out-of-focus,カニさんは藻を見ましたか？,いいえ、マサイさんが藻を見ましたよ。,comparison,カニがどぅ　むーゆ　みーたいな？,あらん。マサイがどぅ　むーゆ　みーたいよ。
96,37,藻,algae.jpeg,utt-initial,out-of-focus,藻が西村の方に見えますか？,いいえ、藻が池間の方に見えますよ。,comparison,むーぬどぅ　西村ん　みーらいゆーな？,あらん。むーぬどぅ　池間ん　みーらいゆーい。
2,38,雲,cloud.jpeg,phrase-medial,out-of-focus,カニさんは大きい雲を見ましたか？,いいえ、マサイさんが大きい雲を見ましたよ。,experiment,カニがどぅ　がばーん°むー　みーたいな？,あらん。マサイがどぅ　がばーん°むー　みーたいよ。
77,39,波,nami.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,波が池間の方に見えますよ。,comparison,なうぬどぅ　池間ん　みーらいゆ？,なんぬどぅ　池間ん　みーらいゆーい。
